1	阿
2	矮
3	案
4	暗
5	巴
6	摆
7	败
8	伴
9	薄
10	宝
11	抱
12	贝
13	倍
14	笨
15	毕
16	闭
17	避
18	编
19	辩
20	冰
21	兵
22	擦
23	财
24	操
25	测
26	抄
27	潮
28	彻
29	沉
30	诚
31	承
32	迟
33	尺
34	冲
35	虫
36	抽
37	窗
38	纯
39	刺
40	粗
41	促
42	寸
43	措
44	袋
45	戴
46	担
47	淡
48	登
49	敌
50	递
51	顶
52	斗
53	豆
54	独
55	堵
56	肚
57	锻
58	恶
59	耳
60	翻
61	肥
62	纷
63	奋
64	符
65	府
66	腐
67	妇
68	附
69	盖
70	隔
71	供
72	构
73	购
74	骨
75	固
76	瓜
77	官
78	逛
79	归
80	裹
81	含
82	寒
83	航
84	毫
85	厚
86	乎
87	呼
88	户
89	怀
90	缓
91	挥
92	汇
93	伙
94	货
95	获
96	圾
97	激
98	即
99	季
100	既
101	寄
102	减
103	渐
104	江
105	奖
106	降
107	阶
108	巾
109	劲
110	禁
111	惊
112	竟
113	镜
114	究
115	居
116	局
117	巨
118	距
119	聚
120	卷
121	均
122	棵
123	宽
124	矿
125	扩
126	括
127	垃
128	辣
129	郎
130	雷
131	泪
132	厘
133	俩
134	炼
135	良
136	粮
137	疗
138	聊
139	料
140	列
141	林
142	临
143	陆
144	律
145	虑
146	率
147	轮
148	络
149	码
150	帽
151	梦
152	秘
153	密
154	免
155	描
156	摸
157	模
158	默
159	闹
160	宁
161	浓
162	盘
163	培
164	婆
165	迫
166	妻
167	企
168	浅
169	穷
170	趋
171	趣
172	圈
173	权
174	泉
175	却
176	燃
177	弱
178	伞
179	扫
180	森
181	晒
182	闪
183	赏
184	尚
185	烧
186	申
187	甚
188	诗
189	施
190	湿
191	史
192	士
193	释
194	守
195	授
196	售
197	叔
198	殊
199	暑
200	述
201	刷
202	帅
203	松
204	俗
205	塑
206	酸
207	孙
208	缩
209	躺
210	梯
211	替
212	填
213	挑
214	贴
215	童
216	统
217	投
218	透
219	途
220	脱
221	袜
222	弯
223	微
224	维
225	尾
226	未
227	谓
228	稳
229	无
230	吸
231	席
232	细
233	鲜
234	咸
235	县
236	限
237	项
238	销
239	型
240	醒
241	兄
242	胸
243	秀
244	序
245	寻
246	迅
247	牙
248	亚
249	呀
250	延
251	严
252	研
253	盐
254	扬
255	腰
256	摇
257	叶
258	依
259	姨
260	移
261	遗
262	疑
263	译
264	益
265	引
266	映
267	勇
268	幼
269	余
270	与
271	玉
272	遇
273	圆
274	源
275	阅
276	载
277	赞
278	则
279	择
280	战
281	丈
282	招
283	召
284	折
285	针
286	阵
287	征
288	政
289	之
290	植
291	址
292	质
293	治
294	致
295	智
296	置
297	逐
298	著
299	综
300	阻
